,,locationx,locationy,14,,,,
1,14,511.1905556,1380.119444,49.24455789,12,6,0,0
2,20,411.936,1591.79,18.41027553,5,0,0,0
3,26,937.0525,1839.225,13.863354,6,0,0,0
4,31,225.167,557.495,18.17352531,5,0,0,0
5,36,1808.92,245.963,25.96725141,4,1,0,0
6,44,311.77875,1849.55625,21.10172148,8,0,0,0
7,62,197.6785,1259.5,16.04160864,10,0,0,0
8,69,63.74066667,1775.908333,16.60355336,6,0,0,0
9,73,1834.064,1677.398,56.8176477,12,8,5,0
10,89,17.03655,1604.515,14.2695371,10,0,0,0
11,96,215.046,1038.94,24.36614781,5,0,0,0
12,104,97.75483333,993.4441667,15.75532502,6,0,0,0
13,117,190.1207143,687.505,14.6401337,7,0,0,0
14,122,606.0783333,1923.933333,17.97271987,6,0,0,0
15,128,1009.316,1224.3,14.48101155,5,0,0,0
16,141,1159.083333,1771.65,16.54718223,6,0,0,0
17,153,1122.166667,1321.933333,13.45403781,9,0,0,0
18,159,1835.592857,646.5671429,19.23733816,0,7,0,0
19,200,1436.3,788.56,21.70601485,0,5,0,0
20,213,595.1523684,345.7944737,34.17231987,0,18,1,0
21,223,1240.047222,146.5361111,25.15539005,7,10,1,0
22,224,926.2421429,1086.778571,24.49167278,1,4,2,0
23,237,359.6627273,820.3654545,35.22017083,0,0,11,0
