,,locationx,locationy,9,,,,
1,9,638.14375,91.50775,13.17251342,8,0,0,0
2,18,1083.7,336.0216667,27.48240752,9,0,0,0
3,23,1350.84,1290.81,10.18263569,5,0,0,0
4,28,1837.87,1648.58,11.92714257,5,0,0,0
5,37,16.7914,423.5395,17.76547554,10,0,0,0
6,62,1917.618333,796.7775,30.61982209,29,1,0,0
7,71,679.5022222,1295.977778,28.36626427,9,0,0,0
8,87,1201.13,210.017,20.81659794,4,1,0,0
9,97,1484.93,1059.45,17.77954405,5,0,0,0
10,112,35.72883333,787.7966667,18.30734835,6,0,0,0
11,141,999.6466667,1247.122222,18.24708886,9,0,0,0
12,146,1660.67,1433.24,11.52945934,5,0,0,0
13,159,848.9171429,131.821,17.93270316,2,5,0,0
14,174,1722.5,571.2966667,26.91722357,7,2,0,0
15,185,174.009375,307.87625,36.85220104,3,2,3,0
16,190,1930.161538,1404.923077,52.39428694,5,2,6,0
17,193,1231.1,425.332,27.35064579,3,0,2,0
18,202,1711.727273,36.96804545,24.32553979,1,0,10,0
