,,locationx,locationy,572,
1,572,588.1325926,1080.440741,13.57549074,81
2,609,1545.492409,1933.6,25.40899967,303
3,746,1276.109524,1547.635714,17.51817416,84
4,1140,616.66,1406.833333,6.06311432,6
5,1330,759.6765244,1902.542683,14.50940692,164
6,1430,926.9526923,1026.951667,12.34149246,78
7,2056,1722.583636,557.3877273,9.931727736,110
8,2276,1077.228571,836.9757143,5.755978534,7
9,2424,752.2660563,1308.738028,12.28975369,71
10,2486,819.9308,266.633,13.06017863,50
11,2724,933.7212121,769.6173737,18.18523233,99
12,3048,317.8069565,1702.808696,9.042877086,138
13,3438,1735.828367,1136.280229,43.77975715,349
14,3852,941.7439735,1858.482119,21.9384702,151
15,3900,1519.472727,1253.372727,6.670097973,11
16,3996,622.6256818,383.9720455,9.127662573,44
17,4026,1433.77875,100.1472,23.7624817,400
18,4052,683.6119271,696.7120833,14.94505404,192
19,4078,1856.286395,1904.188435,14.3609671,147
20,4280,1771.985185,1543.948148,8.824528129,27
21,4290,892.2809948,1757.174869,23.03259173,191
22,4724,357.9779255,757.8305851,16.74099953,188
23,4753,993.3125,1037.4375,9.517396013,8
24,4839,1005.608148,1644.203704,31.08880327,216
25,4937,803.9931034,583.7256322,12.52496798,87
26,5262,1910.428571,761.3457143,4.919378723,7
27,5345,1985.1,1732.382609,14.47328548,46
28,5432,402.6103704,155.53,11.57502927,27
29,5625,119.3734792,724.4057292,19.95384849,96
30,5810,106.0131667,1130.558333,7.132814429,12
31,5961,334.6709524,375.6233333,9.628016867,21
32,5970,1529.832984,709.880733,21.60380048,191
33,6018,54.0897,1734.236667,11.66298078,30
34,6067,1319.35082,709.9007377,20.81628398,122
35,6069,331.9628947,633.7271053,14.15851829,38
36,6085,948.6437143,1298.508571,13.41751259,35
37,6473,1948.615385,1349.041154,24.57751658,260
38,6542,1534.273171,1579.97439,16.13953883,164
39,6703,1910.8,1535.166667,15.16801091,42
40,6857,426.5475862,1337.584483,14.13541262,58
41,6870,883.2100746,1626.375373,20.78040039,134
42,6971,940.3917606,19.76588028,13.13627517,142
43,7016,186.8502632,1559.007895,10.45861422,38
