x	y	sd
84.553	124.9	7.198
1519.5	1947.7	18.517
66.24	105.95	7.569
1502.1	1939.8	18.838
81.554	120.83	7.569
1592.8	1944.9	18.299
79.933	99.209	9.708
1596	1989.4	20.608
115.26	83.344	18.806
1573.8	1959.8	18.543
1516.1	1919.9	15.514
1372.6	1071.1	6.755
1567.9	1952.5	15.601
1371.9	1091.4	4.606
1386.9	1081.6	5.945
1541.1	1870.4	20.661
1587.9	1911.4	14.687
1539.4	1926.8	17.743
1520.1	1968.4	21.816
1581.4	1929.9	16.07
1526.5	1949.9	16.159
1564.1	1918	17.33
1560.8	1947.4	14.106
1510.7	1901	21.328
1532.1	1957.6	18.34
1556	1966.1	14.682
945.83	2.699	12.357
1587.4	1940.6	16.358
893.55	158.49	10.193
1429.8	828.05	5.005
1567.4	1925.3	15.748
1442.1	834.11	4.313
799.79	373.42	9.674
1439.7	815.97	8.308
1879.5	1996.8	10.772
783.04	310.74	10.007
782.19	290.89	10.237
795.6	323.61	10.523
795.66	318.6	9.219
775.92	317.13	10.758
81.975	1484.8	5.526
83.901	1503.6	4.123
71.494	1520.2	15.368
1344.8	668.5	23.808
1395.7	693.28	15.874
1282.8	722.85	17.997
1041.8	777.21	18.597
1324.9	727.39	15.897
1399.9	689.02	14.534
1401.5	679.16	14.274
1433.2	693.4	16.136
945.27	1579.7	17.705
989.56	1662.8	17.502
972.24	1526.7	20.82
1049.7	1083.3	26.67
1575.6	886.34	28.614
1256.9	573.18	15.739
1341	569.68	22.355
1483.8	1239.9	20.972
1499.4	1286.9	17.248
1504.8	1246.4	19.896
1408.3	77.543	25.06
74.298	99.297	8.241
1927.3	1800.4	12.776
1833.1	1802.9	11.419
955.53	387.95	22.145
1840.8	1801.9	12.322
926.44	15.531	10.065
1926.7	1774.8	11.75
1843.7	1807.9	12.962
1220.2	526.31	26.797
1295.7	699.06	7.352
846.84	615.7	18.564
832.72	560.9	23.437
1421.3	730.54	13.322
61.25	1146.4	15.366
1419.4	760.58	14.398
1423.1	705.22	12.398
1419.6	712.05	15.751
928.66	738.05	18.375
912.83	747.32	16.123
783.02	1925	24.515
937.26	742.99	20.196
749.39	1917.4	12.6
937.06	772.24	17.858
944.88	719.54	15.715
876.52	717.27	19.45
918.89	745.17	17.878
912.78	742.13	27.845
955.07	816.45	17.104
1669.4	1970.8	21.975
948.22	796.32	25.95
1689.2	1877.8	11.499
949.89	751.97	17.397
1012	796.8	18.788
1567.4	1922.9	4.312
929.48	738.18	18.318
1538.6	1910.2	3.504
1547.5	1905.6	3.494
1084.8	839.47	25.97
1545.1	1875.7	3.623
997.53	812.81	27.37
1538	1867.8	3.791
927.17	813.64	22.177
1544.2	1870.8	3.836
938.85	788.18	17.456
1555	1888.1	5.6
903.37	750.01	21.935
1721.9	1999.7	20.789
940.59	755.86	20.96
926.57	811.31	19.401
943.51	740.69	22.929
411.52	1631.1	12.726
999.94	748.22	23.585
394.66	1632.2	4.326
399.93	1624.5	4.347
397.94	1620.9	4.613
403.11	1629.2	4.289
384.16	1652.1	3.752
379.28	1648.2	3.486
392.76	1603.5	16.221
667.55	713.81	9.753
703.85	700.9	8.347
1518.1	1908.6	15.535
683.29	701.55	8.329
1493.7	1849.1	4.362
607.12	605.87	26.331
1481	1828.3	5.414
696.62	682.29	15.364
690.65	704.23	8.49
723.22	709.63	22.203
1602	902.16	12.302
583.94	1108.9	7.176
573.74	1071.9	6.277
587.39	1099.4	6.783
574.33	1077	7.293
1948.5	1397.4	22.416
1886.6	1475.3	13.176
1710.8	569.91	6.671
1713.7	558.54	3.492
1717.7	559.97	3.344
1728.4	553.88	3.243
1717.9	570.31	3.632
1721.3	573.06	3.327
1726.7	556.59	3.62
1711.9	567.02	3.452
1712.7	570.12	4.429
216.83	625.54	17.359
1772.7	1150.5	18.245
1752	1080.8	14.995
1765.2	1177.8	16.225
1838.3	1069.4	18.559
1822.7	1104.6	14.887
1489	1854.8	10.584
1975.2	1775.6	15.31
1954.1	1760.6	17.94
1275.9	1554.4	18.219
1989.3	1724.2	15.054
962.55	1592.2	22.522
961.77	1583.6	17.221
1075.6	1699.9	17.123
962.54	1617	18.403
1018.4	1651.4	17.695
991.5	1626.1	13.516
1010.5	1651.7	15.673
1010.1	1661.4	20.176
979.9	1670.7	20.976
969.89	1634.3	17.293
1057.1	1482.1	20.754
1028.3	1522.2	19.26
1095	1124.1	17.835
1059.8	1468	29.627
1118.6	1113.8	17.09
1143.8	1057.7	16.604
1130.2	1108	14.064
1074.4	1107.6	15.466
1120.6	1116.9	12.691
1137.6	1095.7	15.988
401.33	1613.6	4.433
407.54	1615.8	4.778
407.62	1629.6	4.566
1503.1	724.44	17.099
400.75	1642.4	4.535
1508.8	706.31	10.689
406.77	1630.7	4.68
1513.2	731.81	13.059
423.6	1628.5	5.1
1426.1	93.012	9.471
402.85	1597.3	9.951
1450.1	90.922	5.744
1444.7	94.197	11.646
739.56	296.35	21.911
1547.3	1330.5	9.814
80.675	109.52	9.108
791.22	298.68	9.738
60.202	107.65	8.435
65	113.94	8.429
99.328	91.424	8.777
1513.1	709.45	8.364
101.44	102.51	8.911
1525.7	708.98	8.526
612.73	382.86	5.58
1508.2	717.66	7.98
93.738	121.52	8.488
453.9	312	18.038
1528.1	682.27	8.765
73.079	100.82	8.88
1515.3	707.15	9.1
50.852	88.211	14.634
1494.2	731.66	8.96
1527.3	727.53	9.912
1507.7	727.47	9.897
869.48	258.77	8.102
1504.9	729.26	9.07
860.92	229.72	4.876
1515.1	697.74	8.39
1505.4	707.15	10.201
677.31	677.28	9.138
1502.8	677.03	12.307
660.55	688.59	5.894
671.9	681.29	5.79
663.12	689.19	5.729
671.93	681.51	5.912
673.12	687.12	5.226
671.18	684.4	6.511
598.24	1074.9	6.628
588.5	1096.3	6.895
578.22	1097.6	6.029
591.94	1076.6	7.347
579.78	1083.7	6.357
581.15	1112.1	8.16
586.74	1082.2	7.047
96.458	1487.6	7.356
579.91	1102.5	7.518
1398.8	145.01	14.296
582.5	1079.3	7.887
1386.6	120.34	15.457
1513.2	1360	8.567
579.77	1089.3	6.515
1519.5	1355.4	4.121
590.23	1089.5	11.703
1523.4	1376.7	3.624
807.49	595.99	10.067
1522.9	1366.8	3.825
1514.2	1372	3.642
458.21	1434.4	22.17
607.15	1079.9	11.712
1518.4	1358.4	7.959
583.84	1102	10.597
581.34	1062.5	11.098
572.99	1080.6	10.002
576.41	1089.4	15.271
594.85	1080.8	12.449
606.18	1084.1	11.661
434.49	1597.4	9.749
1504.3	1314.4	21.132
409.42	1625.2	4.54
220.55	1553.7	3.689
144.21	1522.6	4.156
91.403	1499.9	3.789
925.16	1879.5	4.132
89.583	1500	4.061
922.58	1882.2	4.292
101.12	1508.8	9.22
931.4	1895.1	4.322
938.52	1880.8	4.211
914.99	1894.2	4.102
924.49	1890	4.32
935.65	1870.3	3.969
948.95	1864.4	4.141
931.64	1871.1	3.909
937.39	1877	4.099
945.6	1876.5	3.924
932.32	1868.9	3.718
934.2	1874.5	3.868
945.58	1867.2	3.993
941.01	1867.7	4.825
308.46	1305.2	12.317
300.52	1316.3	13.64
352.2	1281.8	13.014
334.93	1279	13.851
992.36	1594.2	21.295
1182.5	1625.6	17.363
1889.5	1357.3	13.995
568.85	1091.2	9.714
1474.9	1624.3	4.271
1336	1622.3	4.634
578.65	1094.5	7.373
570.23	1074.4	8.343
584.8	1084.3	7.045
584.15	1083.8	8.541
1473.7	121.19	12.648
614.06	1088.1	10.841
1436.9	89.873	6.262
577.27	1088.1	10.304
1442.9	90.406	5.833
582.89	1067.1	8.473
1438.1	86.863	5.831
591.79	1072.5	9.461
1445.1	88.359	6.037
603.59	1055.3	8.911
1455.4	100.38	6.429
575.41	1070.7	8.179
1437.3	97.047	5.89
562.77	1080.9	9.415
1456.1	98.586	6.445
568.16	1082.7	14.262
836.71	1521.6	17.196
583.89	1058.5	12.927
1980.1	1328.9	11.507
583.73	1064.4	15.418
603.22	1087.5	13.496
1431.1	497.56	7.895
549.05	1053.5	20.54
614.81	1076.9	15.086
540.67	1088.8	21.811
1849.9	1900.6	8.098
524.83	627.4	8.526
1881	1624.9	15.286
620.12	751.85	9.034
1859.6	1580	15.137
719.23	1101.2	10.943
627.48	1344.4	6.624
629.19	1354.9	6.913
630.44	1372.8	6.435
610.18	1335.2	6.428
618.3	1332.7	6.536
618.09	1344.7	5.997
620.14	1340.7	5.892
611.39	1323.2	6.194
597.85	1332.6	6.233
600.28	1334	6.327
616.48	1292.4	6.687
614.02	1089.7	10.162
602.44	1049.5	12.46
