1003.2,491.65,26.52
1948.75,557.8,25.13
1425.65,1625.45,53
173.15,906.05,22.59
182.845,920.275,27.47
154.6,938.91,30.46
189.645,906.415,29.54
1918.4,819.79,34.2
1920.2,835.42,30.05
508.33,1362.8,31.98
562.07,1395.75,32.52
503.54,1430.2,34.34
529.17,1385.7,20.6
485.44,1336,46.04
546.82,1422.6,32.3
523.56,1407.2,20.02
498.185,1392.9,25.665
549.39,1361.5,40.14
1609.6,1979.6,28.4
396.69,1572.25,38.21
386.59,1603.7,40.64
416.46,1580.4,30.82
415.28,1604.2,31.1
444.66,1598.4,38.2
934.555,1844.2,21.325
915.06,1865.8,24.28
944.95,1826.5,22.34
931.2,1832.8,23.12
942.68,1835.45,10.37
953.87,1830.6,22.37
232.91,559.54,25.34
218.84,536.61,19.88
202.34,561.88,30.85
246.655,542.15,25.825
225.09,587.295,34.495
1656.3,604.69,36.66
1696.65,626.895,33.705
1671.55,641.48,33.79
1798.3,281.225,33.825
1801.15,232.845,31.225
1787.3,256.31,27.56
1815.4,259,37.63
327.38,1836.4,20.34
312.1,1856.5,20.03
283.755,1845.2,29.405
322.12,1875.7,35.61
293.57,1810.5,33.01
307.58,1833.3,16.43
302.125,1873.65,24.565
345.6,1865.2,27.08
505.485,230.22,49.135
533.43,229.54,29.63
1691.4,515.87,27.45
1671,498.54,38.73
1699.7,491.31,38.77
979.53,1085.4,42.57
1295.15,1885.8,26.65
1288.3,1866.55,26.85
1304.1,1871.1,22
214.64,1256.8,32.68
189.82,1239.7,25.24
187.36,1262.25,18.49
194.39,1276.3,18.55
197.805,1250.15,13.315
168.55,1251,25.82
214.04,1276.55,20.49
209.81,1228.95,26.53
202.54,1264.5,11.38
197.83,1288.8,25.53
77.479,1812,27.911
50.541,1785.3,21.247
78.461,1763.45,30.402
62.484,1759,16.506
47.936,1760.9,30.317
65.543,1774.8,18.17
697.155,425.72,42.555
693.185,446.38,43.045
1870.6,1646.6,28.1
1857.6,1677,28
1865.8,1664.8,24.5
1855.25,1657.65,15.5
1843.25,1646.75,14.2
1846.85,1663.15,19.7
317.03,32.121,32.916
317.04,52.727,28.604
365.81,90.137,35.706
350,68.7845,28.8415
19.783,1595.5,12.701
1976.15,1225.1,51.55
19.4545,1614.65,11.9385
15.0185,1584.6,19.6185
10.135,1642.4,4.617
15.727,1603.1,12.582
7.748,1597,12.63
19.1455,1627.25,12.2285
9.121,1611.25,11.784
20.182,1568.5,30.914
34.051,1600.9,20.732
1543.1,1131.8,35.2
1509.35,1158.65,26.3
1511.5,1133.5,24.2
1530.85,1114,30.45
206.88,1046.8,35.28
248.325,1030.4,44.625
220.545,1013.5,30.415
174.26,1033,38.08
225.22,1071,37.82
725.155,1427.2,25.305
1641.8,1167.8,38.6
1189.7,922.25,38.79
1182.7,905.93,36.59
98.236,965.16,20.677
110.285,1009.1,35.035
96.77,991.24,14.977
80.502,991.14,33.146
115.23,987.525,31.165
85.506,1016.5,34.194
1749.9,1645.65,32.15
1751.25,1660.4,20.55
1786.9,1676.4,27.5
1757.7,1673.9,27.9
1776.9,1636,22.6
1766,1653.7,20.5
172.98,679.77,17.45
200.16,707.745,26.045
185.55,692.93,13.92
216.22,680.16,32.03
197.515,683.395,14.42
187.61,668.905,27.365
170.81,699.63,30.83
364.17,221.27,48.61
