,,locationx,locationy,9,,,,
1,9,713.504,492.089,23.7486166,4,0,1,0
2,13,1444.325,1837.291667,34.29257825,5,0,1,0
3,19,60.8982,52.2021,20.38721561,5,0,0,0
4,27,1018.560667,1297.643333,29.91231445,15,0,0,0
5,56,603.2522222,159.1055556,23.7289183,9,0,0,0
6,62,1390.9,1069.07,15.65768357,5,0,0,0
7,68,1738.458333,578.1825,7.708957607,6,0,0,0
8,72,990.357,774.714,22.95592604,10,0,0,0
9,99,449.855,1135.966667,21.44734838,5,0,1,0
10,107,365.4014286,207.4142857,19.46271055,7,0,0,0
11,122,1321.7,1455.25,15.74404168,8,0,0,0
12,127,1908.36,379.39,25.45689176,5,0,0,0
13,135,1674.76,1755.54,17.47885528,5,0,0,0
14,143,485.499375,554.62125,10.28742901,8,0,0,0
15,158,253.6377273,54.42620455,46.26170813,0,22,0,0
,,,,,,,,
,,,,,,,,
,,, ,,,,,
