x	y	sd
174.04	851.75	9.134
163.31	882.17	7.981
156.03	862.29	8.956
152.9	867.6	8.608
161.43	868.33	9.176
169.87	893.87	8.629
164.23	873.07	7.75
186.92	834.62	9.39
175.6	861.41	6.695
1311.9	1663.5	4.076
146.23	864.94	7.985
1314.1	1665.9	4.295
159.8	873.57	8.453
1306.1	1667.3	4.378
152.85	872.36	8.108
1312.8	1664.1	4.537
117.75	863.97	7.568
1305.1	1669	4.195
167.99	880.04	8.47
1314.1	1676.6	6.684
169.71	865.31	7.905
175.04	868.68	8.451
157.01	856.54	8.543
1465.3	590.29	7.933
165.01	893.96	8.344
160.73	875.18	9.056
168.58	888.5	8.467
152.65	868.84	10.26
144.62	893.1	8.995
1337.4	1453.2	12.766
167.71	876.25	9.279
1316	1442.4	12.971
195.41	897.73	11.123
1334.6	1443.7	11.352
139.65	832.46	12.833
1311.7	1448.5	12.517
118.17	828.77	10.348
1333.9	1433.4	10.191
117.5	827.58	10.978
1333.1	1443.1	10.352
110.33	845.32	11.835
1353.9	1471	17.14
298.03	910.22	6.903
437.85	1031.7	5.626
468.6	1060.3	5.629
478.06	1066	5.463
477.47	1060.9	5.287
458.67	1047.5	5.958
474.13	560.58	3.82
1517.5	274.54	15.683
459.96	552.23	3.969
1497.6	282.61	15.393
446.18	551.44	3.921
463.51	553.38	3.833
456.07	561.94	3.906
373.94	454.81	16.348
1472.7	576.85	6.61
1534.7	597.96	20.622
355.17	35.182	6.706
359.88	25.891	5.651
466.39	542.98	4.271
463.44	537.44	3.925
383.75	350.8	9.914
519	535.74	23.637
739.32	576.84	17.108
179.99	559.71	17.625
1515.6	305.53	8.555
196.19	503	18.672
1513.9	290.35	9.829
228.46	497.88	14.569
156.71	501.77	18.031
1012	483.4	19.568
1087.3	528.08	14.421
1066.9	522.06	19.139
1060.6	543.38	18.226
1111.1	546.15	18.379
1059.1	515.91	18.036
1065.4	537.35	18.117
354.34	31.465	9.635
536.2	1011.5	6.705
504.95	1057.7	7.27
719.96	606.16	8.085
716.34	584.65	7.357
731.28	568.46	6.605
724.02	601.04	18.394
344.85	16.387	6.417
361.63	5.984	6.958
350.34	29.361	6.928
276.03	765.53	16.112
354.8	791.72	14.949
1639.9	1785.5	9.362
1676.6	1771.8	9.578
1646.6	1771.5	9.088
1643.3	1769.8	8.883
670.79	717.39	9.235
699.01	724.27	11.999
1353.9	149.74	22.993
1351.4	85.635	21.067
740.78	449.47	8.202
739.23	466.46	3.563
739.15	471.84	8.144
1234.2	18.52	22.627
1093.7	35.414	24.714
1087.4	8.623	26.416
821.2	800.22	19.545
1118.8	941.32	15.655
1139.1	985.4	9.946
1160.8	958.34	10.218
1149.2	974.15	9.504
1152.8	971.98	8.827
1139.8	963.15	8.702
1162.7	960.6	10.627
603.51	146.3	13.759
640.26	175.52	11.025
559.31	211.18	15.972
608.5	152.56	14.536
1685.2	300.84	11.878
1666.9	298.34	5.091
1679.5	304.86	4.739
1683.6	301.34	5.03
1675.3	304.97	4.558
1666.8	283.47	5.129
1582.5	1435.8	4.521
1577.5	1438.6	4.264
1574	1450.9	4.165
1578.4	1436.5	4.482
1405.8	1821.3	18.565
1438	1832.2	15.022
1486.7	1862.8	19.787
1442.1	1816.1	16.986
1007.9	1850.2	20.782
1845.3	756.63	30.749
886.39	1892.4	19.78
966.73	1907.6	20.067
953.97	330.18	13.765
946.41	340.27	3.288
945.13	341.11	3.5
947.64	323.89	3.286
943.31	108.98	17.121
890.5	135.56	18.751
162.04	435.68	15.515
134.75	481.36	13.75
159.6	431.05	15.372
153.4	434.34	14.858
130.18	424.06	12.982
445.22	564.44	4.358
468.12	556.34	3.854
458.17	561.47	8.613
304.65	776.12	15.378
301.92	771.98	13.74
337.21	782.03	19.301
956.15	325.53	5.238
1680.4	288.18	5.192
1664.8	303.29	4.625
1488.5	866.35	15.85
1631.2	338.13	25.834
1284.5	1445.6	14.448
1341.3	1465.2	10.334
1312.6	1462.5	8.945
1309.5	1484.6	10.75
