,,locationx,locationy,16,,,,
1,16,906.459375,449.5015625,18.75366579,16,0,0,0
2,21,259.649,1862.95,21.93002134,5,0,0,0
3,29,616.853125,430.748125,27.65877124,8,0,0,0
4,68,1617.822727,311.8968182,15.77125942,11,0,0,0
5,77,538.4158333,973.48,11.97757481,6,0,0,0
6,83,1215.68,1574.19,13.36315984,5,0,0,0
7,88,1554.3,1496.06,9.361793064,5,0,0,0
8,100,1776.933333,785.9425,14.74608122,6,0,0,0
9,117,586.2635714,1327.257143,21.51033434,7,0,0,0
10,135,1116.613158,657.5952632,19.3169316,19,0,0,0
11,151,1418.33125,1720.73125,33.0285976,6,10,0,0
12,157,323.8411538,1054.677308,26.08016765,5,8,0,0
13,167,998.906,1592.72,25.18517592,0,5,0,0
14,170,1398.5,1510.47,17.46490013,4,1,0,0
15,171,1147.116667,1415.686667,44.89064084,6,4,5,0
16,176,141.199,1453.64,17.10641399,4,0,1,0
17,191,435.5764286,1552.657143,34.26473679,0,0,7,0
18,199,994.4011111,1926.911111,38.59929334,5,0,4,0
