x	y	sd
1848.2	1831.5	12.559
147.2	1006.6	5.05
1820.4	1813.3	12.034
1849.1	1775.1	11.8
577.4	904.28	11.233
1854.6	1804.8	11.144
560.52	893.96	12.743
1826.4	1798.8	11.672
1882.5	165.17	14.334
557.35	877.1	12.396
1812.9	1794.8	12.772
543.95	903.63	10.447
1808.7	1786.1	11.455
580.92	892.2	11.427
1821.9	1794	10.964
551.78	890.01	11.617
1815.4	1812.1	11.547
585.07	911.11	11.725
1862.1	1821.5	13.224
527.45	921.47	11.741
439.26	1037.4	21.035
1771.1	1321.9	21.958
1561	716.13	11.663
1568.4	685.38	10.766
102.1	911.41	25.444
280.94	1080.9	23.314
194.01	1018.3	23.337
609.94	1704.2	9.772
617.99	1733.5	10.663
610.88	1753.3	18.396
35.599	894.84	25.561
389.13	789	6.386
424.82	828.58	3.82
480.43	859	10.371
1114.1	1447.9	22.132
1091.9	1532	21.415
604.24	164.84	17.851
950.88	1939.6	8.861
855.16	563.82	18.565
869.45	533.52	14.52
827.98	1559.8	7.706
803.59	1573	13.037
252.52	195.62	21.249
258.67	65.75	16.499
238.92	132.66	16.976
294.34	122.12	14.934
277.89	122.97	13.628
767.25	457.14	8.322
1.926	1477.7	11.591
54.379	1440.8	9.471
38.691	1453	10.578
29.553	1497.1	7.854
30.439	1488.3	7.734
21.709	1487.6	6.771
533.31	487.33	8.612
16.768	1492.5	7.015
544.56	481	10.241
23.433	1434.4	3.974
525.92	478.56	8.497
1870.8	1972.9	19.177
23.374	1411.3	4.066
505.1	485.54	9.377
1771	1938.5	19.674
27.993	1398.3	4.259
533.5	483.07	9.515
1829.4	1970.1	17.329
38.442	1423.1	3.714
500.83	598.76	14.324
1719.4	1952.5	16.536
40.442	1417.5	4.071
547.55	495.28	11.306
924.6	1885.9	6.467
28.204	1428.7	3.747
930.46	1899.5	8.099
34.115	1495.2	6.244
164.64	1485.3	7.088
215.93	1461.5	5.49
217.35	1474.7	5.721
224.15	1486.8	11.047
1085.5	1993.2	23.769
1222.4	1923.9	10.036
1254.9	1501.6	6.429
1260.7	1486.5	16.34
585.08	195.03	20.742
144.06	1009.2	5.301
499.77	7.482	15.079
